SampleID
ZOOP4-13MAR2017
ZOOP6-10APR2017
ZOOP7-10APR2017
ZOOP5-8MAY2017
ZOOP5-5JUN2017
ZOOP2-13MAR2017
ZOOP2-10APR2017
ZOOP2-8MAY2017
ZOOP2-5JUN2017
ZOOP2-14MAR2017
ZOOP2-11APR2017
ZOOP3-11APR2017
ZOOP4-11APR2017
ZOOP2-9MAY2017
ZOOP2-6JUN2017
ZOOP1-5OCT2017
ZOOP2-5OCT2017
ZOOP3-5OCT2017
ZOOP1-13MAR2017
ZOOP1-10APR2017
ZOOP1-8MAY2017
ZOOP1-5JUN2017
ZOOP1-15MAR2017
ZOOP1-12APR2017
ZOOP1-11MAY2017
ZOOP1-7JUN2017
ZOOP1-14MAR2017
ZOOP1-11APR2017
ZOOP1-9MAY2017
ZOOP1-6JUN2017
ZOOP3-15MAR2017
ZOOP2-12APR2017
ZOOP3-11MAY2017
ZOOP3-7JUN2017
ZOOP2-15MAR2017
ZOOP3-12APR2017
ZOOP2-11MAY2017
ZOOP2-7JUN2017
ZOOP3-13MAR2017
ZOOP3-10APR2017
ZOOP3-8MAY2017
ZOOP3-5JUN2017
ZOOP4-10APR2017
ZOOP5-10APR2017
ZOOP4-8MAY2017
ZOOP4-5JUN2017
ZOOP1-02MAR2018
ZOOP1-15MAR2018
ZOOP1B-13MAR2018
ZOOP1-27MAR2018
ZOOP1-609-10APR2018
ZOOP3-13APR2018
ZOOP1-5JUN2018
ZOOP1-14MAR2018
ZOOP3-11APR2018
ZOOP1-6JUN2018
ZOOP2-14MAR2018
ZOOP4-11APR2018
ZOOP2CS-9MAY2018
ZOOP2-6JUN2018
ZOOP3-6JUN2018
ZOOP801-1-12MAR2018
ZOOP5-09APR2018
ZOOP5-13MAR2018
ZOOP1-LHB-10MAY2018
ZOOP1-LHB-7JUN2018
ZOOP1-9MAR2018
ZOOP1-6APR2018
ZOOP1-13APR2018
ZOOP4-D-10MAY2018
ZOOP3-5JUN2018
ZOOP1CS-9MAY2018
ZOOP3-14MAR2018
ZOOP1-11APR2018
ZOOP3CS-9MAY2018
ZOOP4S-13MAR2018
ZOOP1S-10APR2018
ZOOP1-S-9MAY2018
ZOOP1S-7JUN2018
ZOOP8-15MAR2018
ZOOP2-12APR2018
ZOOP2-11MAY2018
ZOOP1-11JUN2018
ZOOP1-15MAR2018
ZOOP2-15MAR2018
ZOOP5-15MAR2018
ZOOP6-15MAR2018
ZOOP1-12APR2018
ZOOP1-11MAY2018
ZOOP2-11JUN2018
ZOOP5-29MAR2018
ZOOP2-22MAR2018
ZOOP3-14MAR2018
ZOOP3P-29MAR2018
ZOOP1-11APR2018
ZOOP3CS-9MAY2018
